Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,160094,-,b'Karnataka',b'India',12.98,77.59,5,931,5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Temperature,Wind Speed,Pressure,Solar Zenith Angle
2019,1,10,4,0,0,0,0,12.8,1.7000000000000002,912,121.68
2019,1,10,5,0,0,0,0,12.600000000000001,1.8,913,107.82000000000001
2019,1,10,6,0,0,0,0,12.8,1.9000000000000001,914,94.13
2019,1,10,7,0,116,346,59,15,2.1,914,80.63
2019,1,10,8,0,356,667,104,19.6,2.5,915,67.75
2019,1,10,9,0,583,817,123,24.900000000000002,3.2,914,55.7
2019,1,10,10,0,763,893,134,28.200000000000003,3.2,914,45.22
2019,1,10,11,0,882,951,129,30.3,3.1,913,37.65
2019,1,10,12,0,918,960,131,31.6,3,911,34.96
2019,1,10,13,0,874,948,129,32.1,2.9000000000000004,910,38.21
2019,1,10,14,0,753,910,123,32,2.9000000000000004,910,46.15
2019,1,10,15,0,566,834,110,31.200000000000003,2.9000000000000004,910,56.84
2019,1,10,16,0,337,697,88,29.200000000000003,2.3000000000000003,910,69
2019,1,10,17,0,99,384,46,23.200000000000003,1.5,911,81.93
2019,1,10,18,0,0,0,0,21.3,1.8,912,95.48
2019,1,10,19,0,0,0,0,20.3,2.2,913,109.2
2019,1,10,20,0,0,0,0,19.3,2.7,913,123.07000000000001
2019,1,10,21,0,0,0,0,18,2.8000000000000003,913,136.97
2019,1,10,22,0,0,0,0,16.8,2.7,913,150.73
2019,1,10,23,0,0,0,0,15.9,2.7,913,163.72
2019,1,11,0,0,0,0,0,14.8,2.2,913,171.04
2019,1,11,1,0,0,0,0,13.8,1.6,912,162.59
2019,1,11,2,0,0,0,0,13.100000000000001,1.2000000000000002,912,149.46
2019,1,11,3,0,0,0,0,13.5,1.2000000000000002,912,135.67000000000002
2019,1,11,4,0,0,0,0,13.8,1.2000000000000002,913,121.77
2019,1,11,5,0,0,0,0,13.700000000000001,1.1,913,107.9
2019,1,11,6,0,0,0,0,14.200000000000001,1.6,914,94.19
2019,1,11,7,0,111,268,67,16.1,2.1,915,80.67
2019,1,11,8,0,348,612,116,19.400000000000002,1.9000000000000001,916,67.78
2019,1,11,9,0,576,791,130,24.400000000000002,1.7000000000000002,916,55.7
2019,1,11,10,0,757,878,138,27.700000000000003,1.8,915,45.17
